rank,baseline_score,risk_level,label,scenario_ids,process_name,image,command_line,parent_image,user,event_count,main_reasons,process_key,process_guid,process_id,parent_name,phase,first_seen,last_seen,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,has_network_connection,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,external_destination_count,runs_from_temp,runs_from_user_profile,has_powershell,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,is_lolbin,rare_parent_child,commandline_length_max,suspicious_keyword_count
56,11,informativo,background,S2,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" --MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask backgroundupdate",-,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset; +5 línea de comandos larga,guid:{55857b6a-c2c5-6a44-3a01-000000000c00},{55857b6a-c2c5-6a44-3a01-000000000c00},4532,-,fase4_suspicious_simulated,2026-07-01 09:33:25.321+02:00,2026-07-01 09:33:36.782+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268,0
57,11,informativo,background,S2,updater.exe,C:\Program Files\Mozilla Firefox\updater.exe,"""C:\Program Files\Mozilla Firefox\updater.exe"" 3 C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\updates\0 ""C:\Program Files\Mozilla Firefox"" ""C:\Program Files\Mozilla Firefox\updated"" first -1",C:\Program Files\Mozilla Firefox\firefox.exe,labwin\jjstestal,2,+6 relación padre-hijo poco frecuente en el dataset; +5 línea de comandos larga,guid:{55857b6a-c2ca-6a44-5701-000000000c00},{55857b6a-c2ca-6a44-5701-000000000c00},13692,firefox.exe,fase4_suspicious_simulated,2026-07-01 09:33:30.029+02:00,2026-07-01 09:33:34.041+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,230,0
58,11,informativo,background,S2,updater.exe,C:\Program Files (x86)\Mozilla Maintenance Service\update\updater.exe,"""C:\Program Files\Mozilla Firefox\updater.exe"" 3 C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\updates\0 ""C:\Program Files\Mozilla Firefox"" ""C:\Program Files\Mozilla Firefox\updated"" second -1",C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe,NT AUTHORITY\SYSTEM,2,+6 relación padre-hijo poco frecuente en el dataset; +5 línea de comandos larga,guid:{55857b6a-c2ca-6a44-5901-000000000c00},{55857b6a-c2ca-6a44-5901-000000000c00},11064,maintenanceservice.exe,fase4_suspicious_simulated,2026-07-01 09:33:30.430+02:00,2026-07-01 09:33:33.943+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,0
59,11,informativo,background,,wuaucltcore.exe,C:\Windows\UUS\amd64\wuaucltcore.exe,"""C:\WINDOWS\uus\AMD64\wuaucltcore.exe"" /DeploymentHandlerFullPath \\?\C:\Windows\UUS\AMD64\UpdateDeploy.dll /ClassId 6b314780-593e-4fc5-a9fb-c9e58d857c42 /RunHandlerComServer",C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2,+6 relación padre-hijo poco frecuente en el dataset; +5 línea de comandos larga,guid:{55857b6a-c35f-6a44-7901-000000000c00},{55857b6a-c35f-6a44-7901-000000000c00},11528,svchost.exe,fase4_suspicious_simulated,2026-07-01 09:35:59.729+02:00,2026-07-01 09:36:05.068+02:00,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174,0
60,10,informativo,normal,,pickerhost.exe,C:\Windows\System32\PickerHost.exe,C:\Windows\System32\PickerHost.exe -Embedding,C:\Windows\System32\svchost.exe,labwin\jjstestal,5,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-e631-6a43-3f04-000000000b00},{55857b6a-e631-6a43-3f04-000000000b00},9180,svchost.exe,fase3_normal,2026-06-30 17:52:17.763+02:00,2026-06-30 17:52:32.463+02:00,4,1,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1
61,10,informativo,background,S2;S3;S5;S7,svchost.exe,C:\Windows\System32\svchost.exe,,,NT AUTHORITY\Servicio de red,49,+10 conexión de red asociada al proceso,guid:{55857b6a-c0f5-6a44-2d00-000000000c00},{55857b6a-c0f5-6a44-2d00-000000000c00},2264,,fase4_suspicious_simulated,2026-07-01 09:33:31.675+02:00,2026-07-01 09:44:12.349+02:00,1,0,49,0,0,0,0,0,0,0,1,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
62,10,informativo,background,,system,System,,,NT AUTHORITY\SYSTEM,4,+10 conexión de red asociada al proceso,guid:{55857b6a-c0f1-6a44-eb03-000000000000},{55857b6a-c0f1-6a44-eb03-000000000000},4,,fase4_suspicious_simulated,2026-07-01 09:36:02.767+02:00,2026-07-01 09:38:40.506+02:00,1,0,4,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,10,informativo,background,S2,devicecensus.exe,C:\Windows\System32\DeviceCensus.exe,"""C:\WINDOWS\system32\devicecensus.exe"" SystemCxt",-,NT AUTHORITY\SYSTEM,4,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-c2c5-6a44-3c01-000000000c00},{55857b6a-c2c5-6a44-3c01-000000000c00},5840,-,fase4_suspicious_simulated,2026-07-01 09:33:25.325+02:00,2026-07-01 09:33:27.243+02:00,3,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,48,1
64,10,informativo,normal,N1,calculatorapp.exe,C:\Program Files\WindowsApps\microsoft.windowscalculator_11.2508.4.0_x64__8wekyb3d8bbwe\CalculatorApp.exe,"""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe\CalculatorApp.exe""",C:\Windows\System32\sihost.exe,labwin\jjstestal,4,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-e684-6a43-4304-000000000b00},{55857b6a-e684-6a43-4304-000000000b00},13276,sihost.exe,fase3_normal,2026-06-30 17:53:40.246+02:00,2026-06-30 17:53:47.139+02:00,3,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,107,1
65,10,informativo,normal,N1;N2,runtimebroker.exe,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,C:\Windows\System32\svchost.exe,labwin\jjstestal,3,+6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense,guid:{55857b6a-e684-6a43-4504-000000000b00},{55857b6a-e684-6a43-4504-000000000b00},7300,svchost.exe,fase3_normal,2026-06-30 17:53:40.584+02:00,2026-06-30 17:54:27.157+02:00,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,48,1
