ml_rank,ml_anomaly_score,ml_decision_function,label,scenario_ids,process_name,image,command_line,parent_image,event_count,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,runs_from_temp,has_network_connection,external_destination_count,suspicious_keyword_count,process_key,process_guid,process_id,user,parent_name,phase,first_seen,last_seen,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,runs_from_user_profile,has_powershell,is_lolbin,rare_parent_child,commandline_length_max
21,0.010796154020284443,-0.010796154020284443,background,,mpsigstub.exe,C:\Windows\System32\MpSigStub.exe,C:\WINDOWS\system32\MpSigStub.exe /stub 1.1.24010.2001 /payload 1.453.370.0 /MpWUStub /program C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.453.359.0.exe WD /q,C:\Windows\UUS\amd64\wuaucltcore.exe,8,0,0,0,0,0,1,0,0,1,guid:{55857b6a-c35f-6a44-7b01-000000000c00},{55857b6a-c35f-6a44-7b01-000000000c00},11912,NT AUTHORITY\SYSTEM,wuaucltcore.exe,fase4_suspicious_simulated,2026-07-01 09:35:59.784+02:00,2026-07-01 09:36:05.054+02:00,3,1,0,1,0,6,0,0,0,0,0,0,6,0,0,0,0,0,1,180
22,0.007343405998245456,-0.007343405998245456,background,,onedrivelauncher.exe,C:\Users\jjstestal\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\OneDriveLauncher.exe,"""C:\Users\jjstestal\AppData\Local\Microsoft\OneDrive\26.106.0603.0003\OneDriveLauncher.exe"" /startInstances",-,12,0,0,0,0,0,0,0,0,1,guid:{55857b6a-c351-6a44-6801-000000000c00},{55857b6a-c351-6a44-6801-000000000c00},3032,labwin\jjstestal,-,fase4_suspicious_simulated,2026-07-01 09:35:45.163+02:00,2026-07-01 09:35:55.250+02:00,4,1,0,1,8,2,0,0,0,0,0,0,2,0,0,1,0,0,1,107
23,0.006443448381980299,-0.006443448381980299,background,S7,mpdefendercoreservice.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe,,,4,0,0,0,0,0,0,1,1,0,guid:{55857b6a-c0f6-6a44-4200-000000000c00},{55857b6a-c0f6-6a44-4200-000000000c00},3420,NT AUTHORITY\SYSTEM,,fase4_suspicious_simulated,2026-07-01 09:31:59.272+02:00,2026-07-01 09:41:58.969+02:00,1,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
24,0.004359442072951247,-0.004359442072951247,normal,,mpdefendercoreservice.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe,,,3,0,0,0,0,0,0,1,1,0,guid:{55857b6a-a217-6a43-4300-000000000b00},{55857b6a-a217-6a43-4300-000000000b00},3296,NT AUTHORITY\SYSTEM,,fase3_normal,2026-06-30 17:52:45.254+02:00,2026-06-30 17:58:57.608+02:00,1,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
25,0.0025045378514838568,-0.0025045378514838568,background,S2,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wisvc,-,4,0,0,0,0,0,0,1,1,0,guid:{55857b6a-c2c7-6a44-5301-000000000c00},{55857b6a-c2c7-6a44-5301-000000000c00},15560,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:33:27.490+02:00,2026-07-01 09:35:27.962+02:00,4,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,54
26,0.0025045378514838568,-0.0025045378514838568,background,,svchost.exe,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wlidsvc,-,4,0,0,0,0,0,0,1,1,0,guid:{55857b6a-c35c-6a44-7201-000000000c00},{55857b6a-c35c-6a44-7201-000000000c00},4068,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:35:56.055+02:00,2026-07-01 09:42:35.844+02:00,4,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,56
27,0.0013363054188019197,-0.0013363054188019197,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command Get-Date",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,5,0,0,0,0,1,1,0,0,4,guid:{55857b6a-e6e0-6a43-5004-000000000b00},{55857b6a-e6e0-6a43-5004-000000000b00},13216,labwin\jjstestal,powershell.exe,fase3_normal,2026-06-30 17:55:12.676+02:00,2026-06-30 17:55:13.742+02:00,3,1,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,1,0,88
28,0.0006562964262506465,-0.0006562964262506465,suspicious_simulated,S1,svchost-test.exe,C:\Users\JJSTES~1\AppData\Local\Temp\TFMTest\svchost-test.exe,"""C:\Users\JJSTES~1\AppData\Local\Temp\TFMTest\svchost-test.exe"" ",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3,0,0,0,0,0,1,0,0,5,guid:{55857b6a-c292-6a44-3601-000000000c00},{55857b6a-c292-6a44-3601-000000000c00},14700,labwin\jjstestal,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:32:34.142+02:00,2026-07-01 09:32:34.161+02:00,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,64
29,-0.0,0.0,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-ChildItem C:\TFM_Triage | Select-Object Name, FullName""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,5,0,0,0,0,1,1,0,0,4,guid:{55857b6a-e6e3-6a43-5304-000000000b00},{55857b6a-e6e3-6a43-5304-000000000b00},3228,labwin\jjstestal,powershell.exe,fase3_normal,2026-06-30 17:55:15.273+02:00,2026-06-30 17:55:15.987+02:00,3,1,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,1,0,140
30,-0.0038341742508598564,0.0038341742508598564,background,S2,svchost.exe,C:\Windows\System32\svchost.exe,,,2,0,0,0,0,0,0,1,1,0,guid:{55857b6a-c123-6a44-e300-000000000c00},{55857b6a-c123-6a44-e300-000000000c00},15312,NT AUTHORITY\SERVICIO LOCAL,,fase4_suspicious_simulated,2026-07-01 09:33:29.391+02:00,2026-07-01 09:33:31.675+02:00,1,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
