phase,source_file,record_number,event_id,provider,channel,computer,utc_system_time,local_time,level,task,opcode,keywords,RuleName,UtcTime,ProcessGuid,ProcessId,Image,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,User,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,ParentUser,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName,QueryName,QueryStatus,QueryResults,TargetObject,Details,NewName,TargetFilename,CreationUtcTime,DestinationIsIpv6,EventType,ImageLoaded,Signature,SignatureStatus,Signed,SourceIsIpv6,SourcePortName
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,679,22,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:50.148470+00:00,2026-07-01 09:40:50.148+02:00,4,22,0,0x8000000000000000,-,2026-07-01 07:40:47.657,{55857b6a-c0f6-6a44-4400-000000000c00},3444,C:\Windows\Sysmon64.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,211.128.18.135.in-addr.arpa.,9003,-,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,680,22,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:50.148510+00:00,2026-07-01 09:40:50.148+02:00,4,22,0,0x8000000000000000,-,2026-07-01 07:40:48.110,{55857b6a-c0f6-6a44-3e00-000000000c00},3324,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,v10.events.data.microsoft.com,0,type: 5 win-global-asimov-leafs-events-data.trafficmanager.net;type: 5 onedscolprdeus17.eastus.cloudapp.azure.com;::ffff:20.42.65.91;,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,681,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:50.343634+00:00,2026-07-01 09:40:50.343+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:46.925,{55857b6a-c111-6a44-d900-000000000c00},14124,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,tcp,True,10.0.2.15,labwin.XCORP.almendralejo.es,64039,135.233.95.135,-,443,https,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,682,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:50.343658+00:00,2026-07-01 09:40:50.343+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:47.262,{55857b6a-c0f5-6a44-2d00-000000000c00},2264,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\Servicio de red,,,,,,,,,,,udp,True,10.0.2.15,labwin.XCORP.almendralejo.es,60819,10.100.16.82,volantis.corp.almendralejo.es,53,domain,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,683,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:50.343672+00:00,2026-07-01 09:40:50.343+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:47.684,{55857b6a-c0f5-6a44-2d00-000000000c00},2264,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\Servicio de red,,,,,,,,,,,udp,True,10.0.2.15,labwin.XCORP.almendralejo.es,61343,10.100.15.20,astapor.corp.almendralejo.es,53,domain,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,684,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:50.343683+00:00,2026-07-01 09:40:50.343+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:47.813,{55857b6a-c0f6-6a44-3e00-000000000c00},3324,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,tcp,True,10.0.2.15,labwin.XCORP.almendralejo.es,64040,20.42.65.91,-,443,https,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,685,22,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:52.166077+00:00,2026-07-01 09:40:52.166+02:00,4,22,0,0x8000000000000000,-,2026-07-01 07:40:49.671,{55857b6a-c0f6-6a44-4400-000000000c00},3444,C:\Windows\Sysmon64.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,135.95.233.135.in-addr.arpa.,9003,-,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,686,22,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:52.166086+00:00,2026-07-01 09:40:52.166+02:00,4,22,0,0x8000000000000000,-,2026-07-01 07:40:49.671,{55857b6a-c0f6-6a44-4400-000000000c00},3444,C:\Windows\Sysmon64.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,91.65.42.20.in-addr.arpa.,9003,-,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,687,3,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:53.433062+00:00,2026-07-01 09:40:53.433+02:00,4,3,0,0x8000000000000000,-,2026-07-01 07:40:50.237,{55857b6a-c0f6-6a44-3e00-000000000c00},3324,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,tcp,True,10.0.2.15,labwin.XCORP.almendralejo.es,64041,20.42.65.91,-,443,https,,,,,,,,,False,,,,,,False,-
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,688,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:40:56.089804+00:00,2026-07-01 09:40:56.089+02:00,4,1,0,0x8000000000000000,-,2026-07-01 07:40:56.088,{55857b6a-c488-6a44-9f01-000000000c00},14040,C:\Windows\System32\PickerHost.exe,10.0.26100.8521 (WinBuild.160101.0800),File Picker UI Host,Microsoft® Windows® Operating System,Microsoft Corporation,PickerHost.exe,C:\Windows\System32\PickerHost.exe -Embedding,C:\WINDOWS\system32\,labwin\jjstestal,{55857b6a-c0f8-6a44-b504-060000000000},0x00000000000604b5,1,Medium,"SHA256=5C864036D7B180C70CDAEB75E932119369838DC694EC025AFDAAAEF4FB0BADB6,IMPHASH=A29C838752203A952CED99FCD67FC0FE",{00000000-0000-0000-0000-000000000000},520,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
